"TIME","GEO","INFOTYPE","COICOP","Value","Flag and Footnotes"
"2003","Euro area (15 countries)","Annual average index","All-items HICP","95,80",""
"2004","Euro area (15 countries)","Annual average index","All-items HICP","97,86",""
"2005","Euro area (15 countries)","Annual average index","All-items HICP","100,00",""
"2006","Euro area (15 countries)","Annual average index","All-items HICP","102,18",""
"2007","Euro area (15 countries)","Annual average index","All-items HICP","104,37",""
"2008","Euro area (15 countries)","Annual average index","All-items HICP","107,79",""
"2009","Euro area (15 countries)","Annual average index","All-items HICP","108,10",""
"2010","Euro area (15 countries)","Annual average index","All-items HICP","109,86",""
"2001","Euro area (13 countries)","Annual average index","All-items HICP","91,76",""
"2002","Euro area (13 countries)","Annual average index","All-items HICP","93,84",""
"2003","Euro area (13 countries)","Annual average index","All-items HICP","95,80",""
"2004","Euro area (13 countries)","Annual average index","All-items HICP","97,86",""
"2005","Euro area (13 countries)","Annual average index","All-items HICP","100,00",""
"2006","Euro area (13 countries)","Annual average index","All-items HICP","102,19",""
"2007","Euro area (13 countries)","Annual average index","All-items HICP","104,37",""
"2008","Euro area (13 countries)","Annual average index","All-items HICP","107,79",""
"2009","Euro area (13 countries)","Annual average index","All-items HICP","108,10",""
"2010","Euro area (13 countries)","Annual average index","All-items HICP","109,85",""
"2001","Euro area (12 countries)","Annual average index","All-items HICP","91,79",""
"2002","Euro area (12 countries)","Annual average index","All-items HICP","93,87",""
"2003","Euro area (12 countries)","Annual average index","All-items HICP","95,82",""
"2004","Euro area (12 countries)","Annual average index","All-items HICP","97,88",""
"2005","Euro area (12 countries)","Annual average index","All-items HICP","100,00",""
"2006","Euro area (12 countries)","Annual average index","All-items HICP","102,19",""
"2007","Euro area (12 countries)","Annual average index","All-items HICP","104,37",""
"2008","Euro area (12 countries)","Annual average index","All-items HICP","107,77",""
"2009","Euro area (12 countries)","Annual average index","All-items HICP","108,08",""
"2010","Euro area (12 countries)","Annual average index","All-items HICP","109,84",""
"2001","Belgium","Annual average index","All-items HICP","92,88",""
"2002","Belgium","Annual average index","All-items HICP","94,32",""
"2003","Belgium","Annual average index","All-items HICP","95,75",""
"2004","Belgium","Annual average index","All-items HICP","97,53",""
"2005","Belgium","Annual average index","All-items HICP","100,00",""
"2006","Belgium","Annual average index","All-items HICP","102,33",""
"2007","Belgium","Annual average index","All-items HICP","104,19",""
"2008","Belgium","Annual average index","All-items HICP","108,87",""
"2009","Belgium","Annual average index","All-items HICP","108,86",""
"2010","Belgium","Annual average index","All-items HICP","111,40",""
